,RT_Time,RT_Depth,RT_PUMP_ON,RT_PUMP_OFF,RT_ROP,RT_RPM.W,RT_SLIDE_BIT,RT_WOB,MR_GAMA.5S5A,MR_FLOW.M,MR_ROTATION,MR_RPM-AVG.MR,MR_RPM-MAG-AVG.MR,MR_GRAV.M,MR_VIBA.MR,MR_VIBL.MR,PD_Gamma,PD_Pump Event,PD_Axial Vibration,PD_Lateral Vibration
211291,2024-12-11 19:04:54,10713,,,0.4,-28.9,,24.61,,,,,,,,,,,,
211296,2024-12-11 19:04:59,10713.05,,,4.28,23.23,,24.33,,,,,,,,,,,,
211300,2024-12-11 19:05:02,10713.05,,,,,,,33.4,,,,,,,,,,,
211304,2024-12-11 19:05:04,10713.11,,,9.39,-8.05,,24.79,,,,,,,,,,,,
211306,2024-12-11 19:05:06,10713.11,,,,,,,,,,,,,,,32,,,
211310,2024-12-11 19:05:09,10713.18,,,14.26,-13.17,,24.93,,,,,,,,,,,,
211315,2024-12-11 19:05:12,10713.18,,,,,,,32.6,,,,,,,,,,,
211316,2024-12-11 19:05:12,10713.18,,,,,,,,,,0.1,,,1.69,1.37,,,,
211318,2024-12-11 19:05:14,10713.25,,,18.89,28.73,,25.02,,,,,,,,,,,,
211324,2024-12-11 19:05:19,10713.32,,,22.97,-26.63,,25.67,,,,,,,,,,,,
211328,2024-12-11 19:05:21,10713.32,,,,,,,,,,,,,,,34.13,,1.33,1.94
211329,2024-12-11 19:05:22,10713.32,,,,,,,31.8,,,,,,,,,,,
211332,2024-12-11 19:05:25,10713.39,,,26.76,7.94,,25.32,,,,,,,,,,,,
211333,2024-12-11 19:05:25,10713.39,,,26.76,7.94,,25.32,,,,,,,,,,,,
211338,2024-12-11 19:05:29,10713.45,,,31.5,14.84,,25.7,,,,,,,,,,,,
211343,2024-12-11 19:05:32,10713.45,,,,,,,35.4,,,,,,,,,,,
211344,2024-12-11 19:05:32,10713.45,,,,,,,,,,0.1,,,1.62,,,,,
211346,2024-12-11 19:05:34,10713.52,,,35.73,-28.3,,25.8,,,,,,,,,,,,
211349,2024-12-11 19:05:37,10713.52,,,,,,,31.6,,,,,,,,,,,
211350,2024-12-11 19:05:37,10715.58,,,,,,,31.6,,,,,,,,,,,
211352,2024-12-11 19:05:39,10713.59,,,39.17,25.46,,26.31,,,,,,,,,,,,
211358,2024-12-11 19:05:44,10713.66,,,42.88,-10.66,,25.96,,,,,,,,,,,,
211362,2024-12-11 19:05:47,10713.66,,,,,,,33.6,,,,,,,,,,,
211366,2024-12-11 19:05:49,10713.73,,,48.57,-10.58,,26.28,,,,,,,,,,,,
211368,2024-12-11 19:05:51,10713.73,,,,,,,,,,,,,,,33.07,,,
211375,2024-12-11 19:05:54,10713.79,,,49.03,26.82,,26.48,,,,,,,,,,,,
211381,2024-12-11 19:05:57,10713.79,,,,,,,33,,,,,,,,,,,
211384,2024-12-11 19:05:59,10713.86,,,49.01,-27.55,,26.89,,,,,,,,,,,,
211388,2024-12-11 19:06:02,10715.89,,,,,,,34.2,,,,,,,,,,,
211391,2024-12-11 19:06:04,10713.91,,,48.64,9.68,,26.61,,,,,,,,,,,,
211393,2024-12-11 19:06:06,10713.91,,,,,,,,,,,,,,,29.87,,,
211397,2024-12-11 19:06:09,10713.94,,,47.65,7.07,,26.09,,,,,,,,,,,,
211406,2024-12-11 19:06:14,10713.97,,,45.79,-25.45,,25.8,,,,,,,,,,,,
211412,2024-12-11 19:06:19,10714.01,,,43.37,28.92,,25.52,,,,,,,,,,,,
211414,2024-12-11 19:06:21,10716.15,,,,,,,,,,,,,,,33.07,,1.38,1.98
211415,2024-12-11 19:06:22,10714.01,,,,,,,31.6,,,,,,,,,,,
211418,2024-12-11 19:06:25,10713.84,,,24.67,-12.77,1,24.76,,,,,,,,,,,,
211420,2024-12-11 19:06:27,10675.21,,,,,,,33.2,,,,,,,,,,,
211422,2024-12-11 19:06:28,10713.84,,,,,,,,,,1.06,,,1.17,1.44,,,,
211423,2024-12-11 19:06:29,10711.26,,,0,-10.37,,-1.42,,,,,,,,,,,,
211429,2024-12-11 19:06:34,10709.12,,,,12.63,,-27.27,,,,,,,,,,,,
211435,2024-12-11 19:06:39,10709.12,,,,-27.19,,-23.16,,,,,,,,,,,,
211439,2024-12-11 19:06:42,10716.33,,,,,,,30,,,,,,,,,,,
211440,2024-12-11 19:06:44,10709.12,,,,17.53,,-22.87,,,,,,,,,,,,
211446,2024-12-11 19:06:49,10709.12,,,,4.66,,-22.36,,,,,,,,,,,,
211448,2024-12-11 19:06:51,10716.38,,,,,,,,,,,,,,,33.07,,,
211449,2024-12-11 19:06:52,10716.38,,,,,,,30,,,,,,,,,,,
211451,2024-12-11 19:06:54,10709.12,,,,-24.27,,-22.14,,,,,,,,,,,,
211456,2024-12-11 19:06:59,10709.12,,,,30.37,,-22.09,,,,,,,,,,,,
211459,2024-12-11 19:07:02,10709.12,,,,,,,31,,,,,,,,,,,
211461,2024-12-11 19:07:04,10709.61,,,,-15.96,,-17.21,,,,,,,,,,,,
211463,2024-12-11 19:07:06,10666.46,,,,,,,,,,,,,,,30.93,,,
211464,2024-12-11 19:07:06,10709.61,,,,,,,,,,,,,,,30.93,,,
211467,2024-12-11 19:07:08,10709.61,,,,,,,,,,-0.68,,,0.4883385,0.949954,,,,
211468,2024-12-11 19:07:09,10710.72,,,,-2.7,,-5.31,,,,,,,,,,,,
211471,2024-12-11 19:07:12,10710.72,,,,,,,34.8,,,,,,,,,,,
211473,2024-12-11 19:07:14,10711.86,,,,21.56,,-5.84,,,,,,,,,,,,
211478,2024-12-11 19:07:19,10712.82,,,,-30.95,,5.12,,,,,,,,,,,,
211481,2024-12-11 19:07:21,10716.58,,,,,,,,,,,,,,,35.2,,1.33,1.91
211485,2024-12-11 19:07:24,10713.13,,,,19.59,,8.93,,,,,,,,,,,,
211492,2024-12-11 19:07:29,10713.13,,,,1.62,,9.26,,,,,,,,,,,,
211497,2024-12-11 19:07:34,10713.13,,,,-22.84,,8.94,,,,,,,,,,,,
211501,2024-12-11 19:07:39,10713.13,,,,30.68,,8.7,,,,,,,,,,,,
211506,2024-12-11 19:07:44,10713.13,,,,-18.95,,8.55,,,,,,,,,,,,
211512,2024-12-11 19:07:48,10713.13,,,,,,,,,,-0.06,,,0.44537002,0.7901373,,,,
211514,2024-12-11 19:07:49,10713.13,,,,-1.3,,8.11,,,,,,,,,,,,
211520,2024-12-11 19:07:54,10713.13,,,,19.72,,7.85,,,,,,,,,,,,
211525,2024-12-11 19:07:59,10713.13,,,,-28.37,,7.6,,,,,,,,,,,,
211528,2024-12-11 19:08:02,10713.13,,,,,,,34,,,,,,,,,,,
211532,2024-12-11 19:08:04,10713.16,,,,21.71,,7.52,,,,,,,,,,,,
211538,2024-12-11 19:08:08,10713.16,,,,,,,,,,-0.02,,,0.42532507,0.82737535,,,,
211541,2024-12-11 19:08:10,10713.22,,,,-2.67,,8.16,,,,,,,,,,,,
211545,2024-12-11 19:08:14,10713.27,,,,-19.11,,8.51,,,,,,,,,,,,
211548,2024-12-11 19:08:17,10713.27,,,,,,,30.4,,,,,,,,,,,
211549,2024-12-11 19:08:17,10717.27,,,,,,,30.4,,,,,,,,,,,
211552,2024-12-11 19:08:19,10713.33,,,,30.99,,9.16,,,,,,,,,,,,
211554,2024-12-11 19:08:21,10713.33,,,,,,,,,,,,,,,,,1.33,1.88
211555,2024-12-11 19:08:21,10717.34,,,,,,,,,,,,,,,,,1.33,1.88
211558,2024-12-11 19:08:24,10713.38,,,,-22.52,,9.55,,,,,,,,,,,,
211560,2024-12-11 19:08:27,10713.38,,,,,,,36,,,,,,,,,,,
211562,2024-12-11 19:08:28,10676.47,,,,,,,,,,-0.06,,,0.6740948,1.09,,,,
211564,2024-12-11 19:08:28,10717.47,,,,,,,,,,-0.06,,,0.6740948,1.09,,,,
211567,2024-12-11 19:08:29,10713.44,,,,1.93,,9.68,,,,,,,,,,,,
211570,2024-12-11 19:08:32,10713.44,,,,,,,40,,,,,,,,,,,
211573,2024-12-11 19:08:34,10713.5,,,,19.54,,10.05,,,,,,,,,,,,
211580,2024-12-11 19:08:39,10713.55,,,,-29.67,,10.71,,,,,,,,,,,,
211583,2024-12-11 19:08:42,10713.55,,,,,,,36,,,,,,,,,,,
211585,2024-12-11 19:08:44,10713.61,,,,23.47,,11.02,,,,,,,,,,,,
211591,2024-12-11 19:08:48,10713.61,,,,,,,,,,-0.1,,,1.07,1.31,,,,
211592,2024-12-11 19:08:49,10713.67,,,,-2.9,,11.31,,,,,,,,,,,,
211595,2024-12-11 19:08:52,10713.67,,,,,,,34,,,,,,,,,,,
211598,2024-12-11 19:08:54,10713.73,,,,-17.42,,12.05,,,,,,,,,,,,
211605,2024-12-11 19:08:59,10713.78,,,,29.11,,12.41,,,,,,,,,,,,
211611,2024-12-11 19:09:04,10713.84,,,0,-23.62,1,12.87,,,,,,,,,,,,
211617,2024-12-11 19:09:08,10713.84,,,,,,,,,,-0.12,,,1.28,1.37,,,,
211618,2024-12-11 19:09:09,10713.89,,,0.74,6.84,,12.9,,,,,,,,,,,,
